text,label,type
高质量,n,JIEBA
价格,n,JIEBA
可维护性,n,JIEBA
争议,n,JIEBA
话题,n,JIEBA
分会,n,JIEBA
程序设计,n,JIEBA
媒介,n,JIEBA
中学,n,JIEBA
职业培训,n,JIEBA
课程,n,JIEBA
工业,n,JIEBA
技能,n,JIEBA
日益,n,JIEBA
经济,n,JIEBA
页面,n,JIEBA
备份,n,JIEBA
互联网,n,JIEBA
教师,n,JIEBA
报告,n,JIEBA
毕业,n,JIEBA
篇文章,n,JIEBA
无党派,n,JIEBA
宣传,vn,JIEBA
联邦,n,JIEBA
政府,n,JIEBA
政策,n,JIEBA
计划,n,JIEBA
工科,n,JIEBA
门类,n,JIEBA
细分,n,JIEBA
datalogy,QUOTED_TERM,REGEX
Computer science is no more about computers than astronomy is about telescopes.,QUOTED_TERM,REGEX
Computer science,DEFINITION,REGEX
UCPH Department of Computer Science）,DEFINITION,REGEX
圖靈工程師（turingineer）,DEFINITION,REGEX
计算机科学并不只是关于计算机,DEFINITION,REGEX
Rózsa Péter）,DEFINITION,REGEX
Stepped reckoner）的建造工作并于1694年竣工,DEFINITION,REGEX
Peter Wegner（英语：Peter Wegner）提出计算机科学可以分成三个领域：数学工程学科學,DEFINITION,REGEX
31 作为一个学科,DEFINITION,REGEX
IEEE Computer Society）（IEEECS）的代表组成34,DEFINITION,REGEX
计算理论,DEFINITION,REGEX
计算机能够思考吗,DEFINITION,REGEX
The Failure to Teach K12 Computer Science in the Digital Age的报告,DEFINITION,REGEX
Computing in the Core（CinC）被建立,DEFINITION,REGEX
英語：Computer science，有时缩写为CS,PARENTHESIS,REGEX
比如信息技术,PARENTHESIS,REGEX
computer science,PARENTHESIS,REGEX
computing science,PARENTHESIS,REGEX
英语：UCPH Department of Computer Science,PARENTHESIS,REGEX
turingineer,PARENTHESIS,REGEX
flowchartsman,PARENTHESIS,REGEX
applied metamathematician,PARENTHESIS,REGEX
applied epistemologist,PARENTHESIS,REGEX
information,PARENTHESIS,REGEX
computation,PARENTHESIS,REGEX
斯拉夫语族,PARENTHESIS,REGEX
"""Computer science is no more about computers than astronomy is about telescopes.""",PARENTHESIS,REGEX
英语：Rózsa Péter,PARENTHESIS,REGEX
英语：Stepped reckoner,PARENTHESIS,REGEX
如ABC计算机电子数值积分计算机,PARENTHESIS,REGEX
International Business Machines的缩写,PARENTHESIS,REGEX
公元前80005000年,PARENTHESIS,REGEX
英语：Peter Wegner,PARENTHESIS,REGEX
以前被叫做Computing Sciences Accreditation Board,PARENTHESIS,REGEX
ACM,PARENTHESIS,REGEX
英语：IEEE Computer Society,PARENTHESIS,REGEX
IEEECS,PARENTHESIS,REGEX
code,PARENTHESIS,REGEX
security,PARENTHESIS,REGEX
或者计算科学,PARENTHESIS,REGEX
Special Interest Group on Information Retrieval,PARENTHESIS,REGEX
Knowledge Discovery and Data Mining,PARENTHESIS,REGEX
the Association for the Advance of Artificial Intelligence,PARENTHESIS,REGEX
Annual Meeting of the Association for Computational Linguistics,PARENTHESIS,REGEX
The North American Chapter of the Association for Computational Linguistics,PARENTHESIS,REGEX
Conference on Empirical Methods in Natural Language Processing,PARENTHESIS,REGEX
International Joint Conference on Artificial Intelligence,PARENTHESIS,REGEX
页面存档备份，存于互联网档案馆,PARENTHESIS,REGEX
一级门类,PARENTHESIS,REGEX
NLP,KG_TERM,TERM
